Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-18T07:00+01:00,31403.57751,10506.60755,133.39
2025-01-18T08:00+01:00,32699.10854,10750.14855,145.63
2025-01-18T09:00+01:00,32971.7654,13446.94908,144.1
2025-01-18T10:00+01:00,32483.0174,17588.22427,131.21
2025-01-18T11:00+01:00,32430.99369,21704.18305,121.56
2025-01-18T12:00+01:00,32508.45578,23651.25152,118.87
2025-01-18T13:00+01:00,31655.78563,23174.70111,115.01
2025-01-18T14:00+01:00,31990.62824,19953.74298,119.32
2025-01-18T15:00+01:00,32378.40435,14249.74361,133.32
2025-01-18T16:00+01:00,33015.26162,10024.95983,149.71
2025-01-18T17:00+01:00,33270.97555,10117.20743,164.59
2025-01-18T18:00+01:00,33361.69302,10921.1295,167.57
2025-01-18T19:00+01:00,33372.74166,11549.91453,167.85
2025-01-18T20:00+01:00,32937.29224,11472.53807,156.12
2025-01-18T21:00+01:00,32802.78646,11490.26206,143.42
2025-01-18T22:00+01:00,32699.83699,11229.98744,136.4
2025-01-18T23:00+01:00,32563.14329,11270.85785,129.36
2025-01-19T00:00+01:00,29063.20436,11334.66568,129.73
2025-01-19T01:00+01:00,28403.73672,11308.60717,124.2
2025-01-19T02:00+01:00,27802.22068,11361.76514,123.05
2025-01-19T03:00+01:00,27403.85763,11059.08603,121.24
2025-01-19T04:00+01:00,27460.43125,10884.77163,120.18
2025-01-19T05:00+01:00,27221.20039,10930.96318,120
